page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
Annie_Chaaan,female,0,Philippines,12464,Facebook,Valorant,League of Legends,Fortnite,5/30/2018,https://www.facebook.com/Anniebchaaan/
MC Gaming,male,0,Singapore,4485,Facebook,Valorant,Fortnite,unavailable,7/25/2020,https://www.facebook.com/MC-Gaming-980182042016525/
Venzee,male,0,Philippines,929,Facebook,Valorant,unavailable,unavailable,10/06/2020,https://www.facebook.com/venzeeFPS/
Glocogaming,male,0,Philippines,573591,Facebook,Valorant,Genshin Impact,Sea of Thieves,7/26/2017,https://www.facebook.com/GLOCOgaming
Vanilla,male,0,Philippines,8200,Twitch,Minecraft,Valorant,Fortnite,2/28/2021,https://www.twitch.tv/vanilla/videos?filter=archives&sort=time
rojeanviel,female,0,Philippines,2800,Twitch,Valorant,Overcooked 2,Scribble,4/13/2021,https://www.twitch.tv/rojeanviel
sillykonpeito,female,0,Philippines,10888,Facebook,Mobile Legends,League of Legends,Stardew Valley,1/27/2019,https://www.facebook.com/sillykonpeito
Enviosity,male,0,US,277000,Twitch,Genshin Impact,unavailable,unavailable,7/23/2020,https://www.twitch.tv/Enviosity
Tectone,male,0,Canada,295000,Twitch,Genshin Impact,unavailable,unavailable,07/04/2016,https://www.twitch.tv/tectone
Tuner,male,0,US,32000,Twitch,Genshin Impact,Monster Hunter,unavailable,11/07/2020,Twitch.TV/Tuner
AsianGuyStream,male,0,UK,76900,Twitch,Genshin Impact,unavailable,unavailable,10/12/2020,https://www.twitch.tv/asianguygenshin
OkCode,male,0,UK,82300,Twitch,Genshin Impact,unavailable,unavailable,12/18/2019,https://www.twitch.tv/okcode
mishyshen,female,0,unavailable,1800,Twitch,Genshin Impact,unavailable,unavailable,04/09/2021,https://www.twitch.tv/mishyshen
Xlice,male,0,US,72700,Twitch,Genshin Impact,unavailable,unavailable,7/28/2017,https://www.twitch.tv/xlice
SirBlindz,male,0,US,2600,Twitch,Genshin Impact,unavailable,unavailable,02/12/2021,https://www.twitch.tv/SirBlindz
zcosy,female,0,Australia,24600,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/zcosy
Jelledot,male,0,unavailable,14500,Twitch,Genshin Impact,unavailable,unavailable,05/07/2017,https://www.twitch.tv/jelledot
